id;age_group;education_level;city;preferred_language;reading_frequency;reading_time_availability;reader_type;reading_habits;favorite_genres;preferred_book_types;preferred_formats;desired_feelings;disliked_genres
1;25-34;High School;Surabaya;indonesian;daily;<15 mins;Avid Reader;Reading helps me relax after lectures and escape into different worlds.;{business,colonialism};{fiction};{hardcover};{thoughtful,entertained,educated};{}
2;25-34;High School;Bekasi;english;weekly;1 hour+;Knowledge Seeker;I enjoy novels in the evening, especially with a warm drink.;{feminism,magazine_zine};{fiction};{paperback,hardcover};{entertained,thrilled};{}
3;25-34;Diploma;Yogyakarta;indonesian;monthly;30-60 mins;Avid Reader;I usually read on weekends when I'am not too busy with assignments.;{climate_change,children_book,graphic_novels,japanese_literature};{fiction};{audiobook};{educated,thrilled};{}
4;18-24;Bachelor;Bogor;english;daily;15-30 mins;Avid Reader;Late night reading is my ritual, it calms me before bed.;{education,politics_sociology};{fiction,non-fiction};{paperback,audiobook};{thrilled};{indonesian_literature}
5;25-34;Diploma;Cimahi;indonesian;rarely;1 hour+;Casual Reader;I often read while commuting to campus using the train.;{critiques_capitalism,historical_fiction,self_discovery};{fiction,non-fiction};{hardcover,paperback};{educated,inspired,entertained};{}
6;25-34;Diploma;Bogor;indonesian;rarely;1 hour+;Avid Reader;I read articles and books related to my major during breaks.;{history,self_discovery,arts_architecture,crime_mystery};{fiction,non-fiction};{audiobook,paperback};{inspired,thrilled};{family,romance}
7;25-34;Bachelor;Serang;indonesian;weekly;30-60 mins;Escapist;Storytelling books bring me joy and help me reflect.;{arts_architecture,western_classic_lit,literacy_criticalism,religions};{fiction};{ebook,paperback};{relaxed};{colonialism,religions}
8;18-24;Diploma;Jakarta;english;weekly;30-60 mins;Avid Reader;Short stories are my favorite during short study breaks.;{feminism,science,fantasy_scifi};{fiction,non-fiction};{audiobook,paperback};{relaxed};{}
9;18-24;Bachelor;Cimahi;indonesian;daily;<15 mins;Escapist;Reading with music helps me focus and enjoy the process.;{magazine_zine,climate_change};{non-fiction};{hardcover,ebook};{thoughtful};{self_help,psychology_selfhelp}
10;25-34;High School;Depok;indonesian;rarely;30-60 mins;Casual Reader;Sometimes I binge-read novels in one sitting during holidays.;{chinese_literature,world_literature,crc_fict};{non-fiction};{paperback,audiobook};{relaxed};{poetry_literacy,critiques_capitalism}
11;18-24;High School;Bekasi;indonesian;daily;<15 mins;Avid Reader;I write reviews of books I love on social media.;{historical_fiction,education};{fiction,non-fiction};{audiobook};{relaxed};{arts_architecture}
12;25-34;Diploma;Serang;indonesian;rarely;15-30 mins;Escapist;I carry a book everywhere in case I find time to read.;{chinese_literature,travel};{non-fiction};{paperback};{educated,entertained,relaxed};{}
